close,﻿"닫기"
"Maximum length of this field must be equal or less than %1 symbols.",﻿"이 필드의 최대 수는 %1 보다 작거나 같습니다."
"Please enter a date between %min and %max.",﻿" %min and %max 사이에서 날짜를 입력 해 주시기 바랍니다."
"Please enter a valid year (1900-%1).",﻿"올바른 연도를 입력 하십시오 (1900-%1)."
"Please enter a valid day (1-%1).",﻿"유효한 날짜를 입력 하십시오 (1-%1)."
"Please enter a date from the past.",﻿"과거의 날짜를 입력 해 주시기 바랍니다."
Attention,﻿"추천"
"Phrase 2 %1",﻿"단계 2 %1"
"Image Detail",﻿"이미지 정보"
"Select Associated Product",﻿"관련 상품을 선택"
"For better results, add attributes and attribute values to your products.","한층 더 좋은 결과를 위해 상품에 속성과 속성 값을 추가하자."
"An attribute has been removed. This attribute will no longer appear in your configurations.",﻿"속성이 삭제 되었습니다. 이 속성은 나중에 나타나지 않습니다."
"Select options for all attributes or remove unused attributes.",﻿"전체 속성 옵션을 선택 하거나 사용 되지 않는 속성을 삭제 하십시오."
"Please, select attribute for the section ","이 섹션에 대한 속성을 선택하십시오 "
"Please fill in the values for the section ",﻿"이 섹션에 대 한 값을 포함 합니다 "
"Please, fill correct values","올바른 값으로 채워주세요"
"Please, select image(s) for your attribute","속성에 대한 이미지를 선택하십시오"
"Please choose image(s)",﻿"이미지를 선택 하십시오"
"Please, select attribute(s)","속성을 선택하십시오"
"Generate Products",﻿"제품 만들기"
"We can't complete your order because you don't have a payment method set up.",﻿"지불 방법 설정이 되어 있지 않기 때문에 명령을 완료할 수 없습니다."
"Video Error",﻿"비디오 오류"
"Unknown video type",﻿"알 수 없는 비디오 종류"
"Invalid video url",﻿"잘못 된 동영상 url"
"Youtube API key is invalid",﻿"Youtube API 키가 잘못 되었습니다"
"Video cant be shown due to the following reason: ",﻿"다음과 같은 이유로 인해 동영상을 찾을 수 없습니다: "
"Video not found",﻿"비디오를 찾을 수 없습니다"
"Edit Video",﻿"비디오 편집"
"This won't take long . . .",﻿"이렇게 시간은 걸리지 않습니다 ..."
"You have item changes",﻿"상품 변경 되었습니다"
"Go to Details Page",﻿"세부 정보 페이지로 이동"
"Test Section",",테스트 섹션"
"Test Group",﻿"테스트 그룹"
"Test Field",﻿"테스트 필드"
"Merchant Location",﻿"판매자 위치"
"Merchant Country",﻿"가맹점의 국가"
"If not specified, Default Country from General Config will be used","지정된 없으면 일반 설정의 기본 국가가 사용됩니다"
"
                    PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>
                ","
                   PayPal 올인원 결제 솔루션 &nbsp;&nbsp;<i>신용 카드 및 PayPal 지불을 받아 처리하는</i>
                "
"Choose a secure bundled payment solution for your business.",﻿"귀하의 비즈니스에 대 한 안전한 번들 지불 방법을 선택 하십시오."
"Payments Pro and Express Checkout",﻿"Payments Pro and Express 체크아웃"
"Basic Settings - PayPal Payments Pro",﻿"기본 설정- PayPal Payments Pro"
"PayPal Payment Gateways",﻿"PayPal Payment Gateways"
"Process payments using your own internet merchant account.",﻿"자신의 인터넷 상인 계정을 사용 하 여 지불을 가공 한다."
"PayPal Express Checkout",﻿"PayPal 익스프레스 체크아웃"
"Add another payment method to your existing solution or as a stand-alone option.",﻿"이미 존재 하는 처리법에 다른 결제 방법을 추가 하거나 スタンドアローンオプション로 합니다."
1,﻿"1"
"Accept payments with a completely customizable checkout page.",﻿"완전히 사용자 지정할 수 있는 체크 아웃 페이지의 지불을 접수"
"PayPal Payment Solutions",﻿"PayPal 지불 솔루션"
"Payflow Pro",﻿"Payflow 프로"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.",﻿"귀하의 거래 계정을 사이트에서 벗어나지 않고 고객에 게 지불을 허용 하는 가득 차 있 주문을 받아서 만들어진 게이트웨이와 연결 합니다."
"Required PayPal Settings",﻿"필수 PayPal 설정"
Partner,﻿"파트너"
User,﻿"사용자"
Vendor,﻿"공급 업체"
"Test Mode",﻿"테스트 모드"
"Use Proxy",﻿"프록시 사용"
"Proxy Host",﻿"프록시 호스트"
"Proxy Port",﻿"프록시 포트"
"Enable this Solution",﻿"이 지불 방법을 사용 하는"
"Basic Settings - PayPal Payflow Pro",﻿"기본 설정-PayPal Payflow Pro"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.",﻿"이 값을 상점 뷰 매 ""직불 또는 신용 카드""로 설정 하는 것이 좋습니다. "
"Payment Action",﻿"지불 작업"
"Credit Card Settings",﻿"신용 카드 설정"
"
                            Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        ","
                           아메리칸 익스프레스 카드를 지원하려면 추가 합의가 필요합니다. 여기서 <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a> 확인하시기 바랍니다.
                        "
"Payment Applicable From",﻿"지불 신청 양식"
"Countries Payment Applicable From",﻿"국가 지불 신청서"
"Debug Mode",﻿"디버그 모드"
"Enable SSL verification",﻿"SSL 인증서 사용"
"Require CVV Entry",﻿"CVV 기재 필수"
"CVV and AVS Settings",﻿"CVV와 AVS 설정"
"Reject Transaction if:",﻿"만약 트랜잭션이 거부 된 경우:"
"AVS Street Does Not Match",﻿"AVS 주소가 일치 하지 않습니다"
"AVS Zip Does Not Match",﻿"AVS 우편 번호가 일치 하지 않습니다"
"International AVS Indicator Does Not Match",﻿"국제 AVS 표시기를 일치 하지 않습니다"
"Card Security Code Does Not Match",﻿"카드 보안 코드는 일치 하지 않습니다"
"Settlement Report Settings",﻿"정산 보고서 설정"
"Payflow Link (Includes Express Checkout)",﻿"Payflow 링크 (익스프레스 체크 아웃 포함)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.",﻿"귀하의 거래 계정을 사이트에서 벗어나지 않고 고객에 게 지불을 가능 하 게 한다 PCI 준 許 게이트웨이와 연결 하십시오"
"Payflow Link and Express Checkout",﻿"Payflow 링크 익스프레스 체크아웃"
"Email Associated with PayPal Merchant Account (Optional)",﻿"PayPal 상인 계정에 끈 연결 된 E 메일 (옵션)"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","만약 여러 사용자 계정으로 설정되어 있어야 공급 업체/판매자 로그인을 다시 입력하십시오."
"Enable Payflow Link",﻿"Payflow 링크 사용"
"Enable Express Checkout",﻿"익스프레스 체크 아웃 활성화"
"Advertise PayPal Credit",﻿"PayPal 신용 광고 효과"
"
                            <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        ","
                            <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">파이낸싱을 왜 홍보 할 것인가?</a><br/>
                        <strong> 파이낸싱을 광고 할 때는 매출을 향상시켜 보자.</ strong><br/>PayPal은 PayPal 신용의 파이낸싱을 통해보기 만 고객을 구매자로 바꿀 수 있습니다.
                        ® 추가 요금없이 당신이 직접 지불을받는 한편 당신의 고객은 지불에 시간이 걸려 있습니다.
                        PayPal 무료 배너 광고를 사용하여 PayPal 신용을 홍보 할 수 있습니다 ® 당신의 고객이 PayPal로 지불 할 때 지불로 파이낸싱
                        PayPal 광고 프로그램은 한층 더 구입을하기 위해와 고객의 구매 금액을 15% 또는 그 이상으로 늘립니다.
                        <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">자세한 내용을 참조하십시오.</a>.
                        "
"Home Page",﻿"홈 페이지"
"Catalog Category Page",﻿"카탈로그 범주 페이지"
"Catalog Product Page",﻿"카탈로그 제품 페이지"
"Checkout Cart Page",﻿"체크 장바구니 페이지"
"Basic Settings - PayPal Payflow Link",﻿"기본 설정-PayPal Payflow 링크"
"CVV Entry is Editable",﻿"CVV 출품작은 편집 가능 합니다"
"Send Email Confirmation",﻿"E 메일 확인을 보낸다"
"URL method for Cancel URL and Return URL",﻿"취소 URL 및 반환 URL의 URL 기법"
"Frontend Experience Settings",﻿"프런트 엔드 체험 설정"
"Basic Settings - PayPal Express Checkout",﻿"기본 설정-PayPal 익스프레스 체크아웃"
"Express Checkout",﻿"익스프레스 체크아웃"
"Add PayPal as an additional payment method to your checkout page.",﻿"PayPal을 추가 지불 방법을 체크 아웃 페이지에 추가"
"Email Associated with PayPal Merchant Account",﻿"E 메일을 PayPal 거래 계정과 견장을 단 다"
"
                                <a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>
                            ","
                                <a href=""http://www.magentocommerce.com/paypal"">PayPal을 통한 지불 접수 개시</a>
                            "
"Don't have a PayPal account? Simply enter your email address.",﻿"PayPal 계정이 아닌 가요? E 메일 주소를 입력 하십시오."
"API Authentication Methods",﻿"API 권한 메서드"
"API Username",﻿"API 사용자 이름"
"API Password",﻿"API 암호"
"Get Credentials from PayPal",﻿"PayPal에서 증명서를 받을"
"Sandbox Credentials",﻿"Sandbox 인증서"
"API Uses Proxy",﻿"API는 프록시를 사용 합니다"
"Enable PayPal Credit",﻿"PayPal 신용을 사용"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>
                        ","PayPal 익스프레스 체크아웃은 PayPal 신용을 통해 서 결제 방법을 고객 수 있습니다. &#174;-추가 비용 없이.
                        당신이 직접 지불을받는 한편 당신의 고객은 지불에 시간이 걸려 있습니다. 사전 내장 지불 버튼은 고객에게 PayPal 신용 결제를 신속하게 진행합니다. ®.
                         <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank""> 자세한 </a>
                        "
"Publisher ID",﻿"게시자 ID"
"Required to display a banner",﻿"배너 표시 필수"
"Get Publisher ID from PayPal",﻿"PayPal 더 게시자 ID를 구하는"
"It is recommended to set this value to ""Magento_Paypal"" per store views.",﻿"보기에 대해이 값을 ""Magento_Paypal""로 설정 하는 것을 권장 합니다. "
"Display on Product Details Page",﻿"상품 상세 페이지에 표시"
"Authorization Honor Period (days)",﻿"인증 아너 기간 (일)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.",﻿"판매자의 PayPal 계정에서 인증 아너 기간이 무언가입니다. PayPal의 설정을 반영 하도록 해야 합니다."
"Order Valid Period (days)",﻿"주문 유효 기간 (일)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.",﻿"판매자의 PayPal 계정으로 주문 유효 기간이 무엇 인지 지정 합니다. PayPal에서 지정한 설정과 동일 해야 합니다."
"Number of Child Authorizations",﻿"하위 인증을 수"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.",﻿"당신의 PayPal 계정을 자식 인증의 기본값은 1입니다. 여러 인증을 정의 하려면 PayPal 늘릴 것을 요구 한다 연락 하십시오."
"Display on Shopping Cart",﻿"쇼핑 카트 표시"
"Also affects mini-shopping cart.",﻿"미니 쇼핑 장바구니에도 영향을 줍니다."
"Transfer Cart Line Items",﻿"전송 카트 라인 항목"
"Transfer Shipping Options",﻿"전송 배달 옵션"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","이 옵션이 활성화되면 고객은 PayPal의 웹 사이트에서 배송 주소와 배송 방법을 변경할 수 있습니다. 실제 환경에서는 HTTPS 프로토콜을 통해서만 가능합니다."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.",﻿"PayPal은 10까지 배송 옵션을 사용할 수 있습니다. 따라서 Magento는 만약 10 개 이상의 배송 옵션이 있는 경우에 첫번째 가장 싼 10 개 옵션을 전송 합니다."
"Shortcut Buttons Flavor",﻿"바로 가기 버튼 바람"
"Enable PayPal Guest Checkout",﻿"PayPal 게스트 구매를 활성화"
"Ability for buyer to purchase without PayPal account.",﻿"PayPal 계정이 없다면 구매자에 게 구매 하기"
"Require Customer's Billing Address",﻿"고객 지불 주소 필수"
"This feature needs be enabled first for the merchant account through PayPal technical support.",﻿"이 기능은 PayPal의 기술 지원을 통해 가맹점의 계정에 대해 활성화 되어야 합니다."
"Billing Agreement Signup",﻿"결제 계약 가입"
"Whether to create a billing agreement, if there are no active billing agreements available.","유효한 결제 계약이없는 경우는 결제 계약을 만들"
"
                                Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this until PayPal confirms that billing agreements are enabled for your merchant account.
                            ","
                                 판매자가 결제 계약 기능을 활성화하기 위해 PayPal에 신청해야합니다. PayPal가 귀하의 거래 계정의 결제 계약이 활성화 된 것을 확인할 때까지이 옵션을 활성화하지 마십시오.
                            "
"Skip Order Review Step",﻿"주문 검토 단계를 건너 뛰기"
"PayPal Billing Agreement Settings",﻿"PayPal 결제 계약 설정"
"
                                    Will appear as a payment option only for customers who have at least one active billing agreement.
                                ","
                                   적어도 하나의 유효한 결제 계약을 체결 한 고객에게만 지불 옵션이 표시됩니다.
                                "
"Allow in Billing Agreement Wizard",﻿"결제 계약 마법사에서 허용"
"SFTP Credentials",﻿"SFTP 인증서"
"Custom Endpoint Hostname or IP-Address",﻿"사용자 지정 끝점 호스트 이름 또는 IP 주소"
"By default it is ""reports.paypal.com"".",﻿"기본 ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".",﻿"콜론을 사용 하 여 포트를 지정 하십시오. 예: ""test.example.com:5224"". "
"Custom Path",﻿"사용자 지정 경로"
"Scheduled Fetching",﻿"계획 된 접근"
"Enable Automatic Fetching",﻿"자동 검색 사용"
Schedule,﻿"일정"
"PayPal retains reports for 45 days.",﻿"PayPal은 45 일 보고서를 포함 합니다."
"Time of Day",﻿"일의 시간"
"PayPal Product Logo",﻿"PayPal 제품 로고"
"Displays on catalog pages and homepage.",﻿"카탈로그 페이지와 홈 페이지에 표시"
"PayPal Merchant Pages Style",﻿"PayPal 광고주 페이지 스타일"
"Page Style",﻿"페이지 스타일"
"
                                    Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).
                                ",﻿"
                                    허용되는 값 : ""paypal"" ""primary"" (기본값), your_custom_value (귀하의 거래 계정 프로필의 사용자 정의 결제 페이지 스타일).
                                "
"Header Image URL",﻿"헤더 이미지 URL"
"
                                    The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.
                                ","
                                    이미지는 체크 아웃 페이지의 왼쪽입니다. 최대 크기는 750x90 픽셀. <strong style=""color:red"">https</strong>을 적극 추천합니다
                                "
"Header Background Color",﻿"헤더 배경 색상"
"
                                    The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.
                                ","
                                    체크 아웃 페이지의 헤더의 백그라운드 컬러. 대소 문자 무관 한 6 자 HTML16 진수 ASCII 컬러 코드.
                                "
"Header Border Color",﻿"헤더 보더 색"
"2-pixel perimeter around the header space.",﻿"헤더 영역 둘레 2 픽셀"
"Page Background Color",﻿"페이지 배경 색상"
"
                                    The background color for the checkout page around the header and payment form.
                                ","
                                   체크 아웃 페이지의 헤더와 지불 양식 주위의 백그라운드 칼라
                                "
"Website Payments Pro Hosted Solution",﻿"Websites Hosted Solution"
"Accept payments with a PCI compliant checkout that keeps customers on your site.",﻿"고객 사이트에 걸기를 위한 PCI 준 허가  체크 아웃을 수락"
"Payments Pro Hosted Solution",﻿"Payments Pro Hosted Solution"
"
                            <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        ","
                            <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        "
"Basic Settings - PayPal Payments Pro Hosted Solution",﻿"Basic Settings - PayPal Payments Pro Hosted Solution"
"It is recommended to set this value to ""PayPal"" per store views.",﻿"It is recommended to set this value to ""PayPal"" per store views."
"Display Express Checkout in the Payment Information step",﻿"Display Express Checkout in the Payment Information step"
"Payments Advanced (Includes Express Checkout)",﻿"Payments Advanced (Includes Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.",﻿"Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Payments Advanced and Express Checkout",﻿"Payments Advanced and Express Checkout"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com",﻿"PayPal recommends that you set up an additional User on your account at manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here."
"
                                <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                            ","
                                <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                            "
"Basic Settings - PayPal Payments Advanced",﻿"기본 설정-PayPal 탑재-고급"
"Payflow Pro (Includes Express Checkout)",﻿"Payflow Pro (익스프레스 체크 아웃 포함)"
"Payflow Pro and Express Checkout",﻿"Payflow Pro 및 익스프레스"
"
                                <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                            ","
                                <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                            "
"Website Payments Pro Hosted Solution and Express Checkout",﻿"Website Payments Pro Hosted Solution 및 체크 아웃"
"Basic Settings - PayPal Website Payments Pro Hosted Solution",﻿"기본 설정-PayPal Website Payments Pro Hosted Solution"
"Module layout label",﻿"모듈 레이아웃 레이블"
"Module layout title",﻿"모듈 레이아웃 제목"
"Theme layout label",﻿"테마 레이아웃 레이블"
"Theme layout title",﻿"테마 레이아웃 제목"
"1 column modified",﻿"1 컬럼 변경"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML
                    Output cache.
                ",﻿"설정 되어 있지 않으면 기본적으로 86400입니다. 즉시 업데이트 하려면 블록 HTML 출력 cache를 삭제 하십시오."
                "
"Test Indexer Declaration",﻿"테스트 인덱서 선언"
"Invalid provider attribute value",﻿"잘못 된 공급자 속성 값"
"Duplicate indexer id",﻿"인덱서 id를 복제"
"Duplicate 'view_id' in indexer declaration",﻿"인덱서 선언에는 ' view_id '을 복제"
"Empty fields",﻿"빈 필드"
"Invalid handler attribute value",﻿"잘못 된 처리기 속성 값"
"Duplicate field declaration",﻿"필드 선언을 복제"
"Invalid source attribute value",﻿"잘못 된 원본 속성 값"
"Invalid field handler attribute value",﻿"잘못 된 필드 처리기 속성 값"
"Invalid field type",﻿"잘못 된 필드 유형"
"No dataType attribute for 'filterable' type field",﻿"' Filterable ' 형식 필드의 데이터 형식 속성이 없습니다."
"Invalid field dataType attribute value",﻿"잘못 된 필드 데이터 형식 속성 값"
"Test Indexer Declaration 1",﻿"테스트 인덱서 선언 1"
"If empty, we'll use the product name here.","空であれば、ここで商品名を使います。"
"If empty, we'll use the category name here.","空であれば、ここでカテゴリ名を使います。"
"Phrase 2",﻿"구문 2"
"Phrase 3",﻿"구 3"
"Cache Description",﻿"Cache 설명"
"String with translate",﻿"번역 된 문자열"
"Test Translate",﻿"테스트 번역"
"Move to Archive",﻿"보관 함으로 이동"
One,﻿"원"
Two,﻿"투"
"Use HTTPS to Get Feed",﻿"HTTPS를 사용 하 여 피드를 얻을"
"Authorize.net Direct Post",﻿"Authorize.net Direct Post"
"API Login ID",﻿"API 로그인 ID"
"Transaction Key",﻿"트랜잭션 키"
"Merchant MD5",﻿"판매자 MD5"
"Transaction Details URL",﻿"트랜잭션 세부 URL"
"Accepted Currency",﻿"수락할 통화"
"Email Customer",﻿"고객에 게 E 메일"
"Merchant's Email",﻿"상인 E 메일"
"Credit Card Types",﻿"신용 카드 유형"
"Credit Card Verification",﻿"신용 카드 인증"
"Enabled Template Path Hints for Storefront",﻿"상점의 템플릿 경로 팁 사용"
"Enabled Template Path Hints for Admin",﻿"관리자를 위한 템플릿 경로 팁 사용"
"Enabled for Storefront",﻿"상점 설정"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","번역, 블록, 기타 출력 케시는 저장소 관리 화면의 두 영역(front,admin)에서 비활성화되어야합니다."
"CSS Settings",﻿"CSS 설정"
"Top destinations",﻿"가장 접근 하는 내용"
"Store Hours of Operation",﻿"영업 시간"
"Email template chosen based on theme fallback when ""Default"" option is selected.",﻿"""기본"" 옵션을 선택할 때, E 메일 서식 파일을 테마로 대체 원본으로 선택 됩니다. "
"You will have to sign in after you save your custom admin path.",﻿"사용자 지정 관리자 경로를 설정 후에 로그인 해야 합니다."
"Auto-redirect to Base URL",﻿"기본 URL로 자동 리디렉션"
"Use Secure URLs on Storefront",﻿"상점에서 보안 URL 사용"
"Use SID on Storefront",﻿"상점에서 SID를 사용"
Braintree,﻿"브레인 트리"
&nbsp;,﻿"&nbsp;"
"Enable PayPal through Braintree",﻿"브레인 트리를 통해 PayPal을 사용"
"Basic Braintree Settings",﻿"기본 브레인 트리 설정"
Environment,﻿"환경"
"Merchant Account ID",﻿"판매자 계정 ID"
"Merchant ID",﻿"가맹점 ID"
"Public Key",﻿"공용 키"
"Private Key",﻿"개인 키"
"Advanced Braintree Settings",﻿"진보 된 소금물 트리 설정"
"Capture action",﻿"가지고가 놓고 작업"
"Use Vault",﻿"안전 사용"
"Allow Duplicate Cards",﻿"카드 복제 허용"
"CVV Verification",﻿"CVV 인증"
"Enable Credit Card auto-detection on Storefront",﻿"상점에서 신용 카드 자동 검색 사용"
"Advanced Fraud Protection",﻿"진보 된 사기 행위 방지"
"Your Kount ID",﻿"Your Kount ID"
"Use Cache",﻿"Cache 사용"
"Country Specific Settings",﻿"국가별 특정 설정"
"Country Specific Credit Card Types",﻿"국가별 특정 신용 카드 형식"
"PayPal through Braintree",﻿"브레인 트리를 통해 서"
"Override Merchant Name",﻿"판매자 이름 덮어쓰기"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side",﻿"체크 아웃 한 동안에 PayPal 측에서 입력 된 배송 주소를 편집 하는 것을 허용 한다"
"3D Secure Verification Settings",﻿"3D 보안 인증 설정"
"3D Secure Verification",﻿"3D 보안 인증"
"Edit My Credit Cards",﻿"신용 카드 편집"
"Enable CAPTCHA on Storefront",﻿"상점에서 CAPTCHA를 사용"
"Display products availability in stock on Storefront.",﻿"상점에서 상품의 재고 유무를 표시"
Small,﻿"스몰"
Main,﻿"메인"
"Custom image",﻿"사용자 지정 이미지"
Storefront,﻿"상점"
"Select Product...",﻿"상품 선택 ..."
"Select Category...",﻿"범주 선택 ..."
"Delete items",﻿"상품 삭제"
"Update attributes",﻿"속성 업데이트"
"We'll send your order confirmation here.",﻿"여기에 주문 확인을 보냅니다."
"For delivery questions.",﻿"배송에 관한 질문"
Payment,﻿"지불"
"Cart Subtotal",﻿"부분합"
"Not yet calculated",﻿"미 확정"
"We received your order!",﻿"주문을 접수 했습니다!"
"Select Page...",﻿"선택한 페이지 ..."
"Select Block...",﻿"선택 차단 ..."
"Are you sure you wan't to delete selected items?",﻿"정말로 선택 된 상품을 삭제 하 시겠습니까?"
"Show VAT Number on Storefront",﻿"VAT 번호를 상점에 표시"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","스토어에서 VAT 번호 표시하려면 Show VAT Number on Storefront 옵션을 Yes로 설정."
"Default Welcome Email Without Password",﻿"기본 암호 없음  E 메일"
"
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        만약 고객이 암호없이 작성되면이 E 메일은 기본적 환영 메일을 대신 보내집니다. <br/> <br/>
                        ""Default""옵션이 선택되었을 때, 테마 대체에 따른 E 메일 템플릿이 선택됩니다。
                    "
"
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        계정이 확인 된 후이 E 메일 기본 환영 편지 대신 보내집니다. <br /><br />
                        ""Default""옵션이 선택되었을 때, 테마 대체에 따른 E 메일 템플릿이 선택됩니다.
                    "
